date;temp_max_anos;temp_min_anos;temp_media_anos;precipitacao_anos
01/01/2020;28.8;25.6;27.143.333.333.333.300;0.2
02/01/2020;29.0;28.0;28.5;0.0
03/01/2020;29.0;27.25;28.020.833.333.333.300;0.0
04/01/2020;28.75;27.25;27.958.333.333.333.300;0.2
05/01/2020;29.4;25.6;27.133.333.333.333.300;0.8
06/01/2020;28.2;25.4;2.693.333.333.333.330;0.0
07/01/2020;29.5;26.25;27.958.333.333.333.300;0.0
08/01/2020;28.25;27.25;27.625;0.0
09/01/2020;30.0;26.25;28.0;0.0
10/01/2020;30.75;26.25;28.708.333.333.333.300;0.0
11/01/2020;29.333.333.333.333.300;27.333.333.333.333.300;28.666.666.666.666.600;1.2
12/01/2020;28.0;25.75;26.625;0.4
13/01/2020;26.0;26.0;26.0;0.2
14/01/2020;29.25;26.0;27.5;0.6
15/01/2020;29.0;27.0;279.375;0.6
16/01/2020;29.25;27.0;27.875;0.0
17/01/2020;27.5;27.0;27.25;0.0
18/01/2020;28.75;26.5;27.375;0.6
19/01/2020;29.0;27.75;28.416.666.666.666.600;0.0
20/01/2020;29.75;27.75;28.833.333.333.333.300;0.0
21/01/2020;28.25;26.0;268.125;3.0
22/01/2020;28.75;27.25;279.375;0.4
23/01/2020;27.0;27.0;27.0;0.0
24/01/2020;30.2;27.6;28.663.333.333.333.300;0.0
25/01/2020;28.0;27.4;27.75;0.6
26/01/2020;28.6;25.8;27.166.666.666.666.600;0.0
27/01/2020;29.2;25.4;26.903.333.333.333.300;3.6
28/01/2020;30.0;29.2;29.6;0.0
29/01/2020;28.4;26.4;27.2;0.8
30/01/2020;28.8;26.4;27.353.333.333.333.300;0.0
31/01/2020;27.8;26.8;27.3;0.0
01/02/2020;29.2;27.4;28.166.666.666.666.600;0.0
02/02/2020;29.25;27.0;28.125;0.0
03/02/2020;27.5;26.5;27.083.333.333.333.300;7.8
04/02/2020;30.666.666.666.666.600;29.0;29.8;1.2
05/02/2020;29.25;26.25;277.375;0.0
06/02/2020;27.0;27.0;27.0;0.0
07/02/2020;28.666.666.666.666.600;26.333.333.333.333.300;27.444.444.444.444.400;0.0
08/02/2020;29.5;27.5;281.875;0.4
09/02/2020;28.75;27.5;28.166.666.666.666.600;0.0
10/02/2020;30.666.666.666.666.600;25.333.333.333.333.300;28.083.333.333.333.300;0.2
11/02/2020;29.25;27.5;28.25;0.4
12/02/2020;29.75;25.75;278.125;0.0
13/02/2020;28.25;27.0;27.495.833.333.333.300;5.0
14/02/2020;29.5;27.0;28.125;0.2
15/02/2020;27.25;26.0;26.75;0.0
16/02/2020;30.0;26.25;27.758.333.333.333.300;1.4
17/02/2020;29.0;27.25;28.208.333.333.333.300;0.0
18/02/2020;29.5;27.25;28.520.833.333.333.300;0.2
19/02/2020;30.25;28.5;29.25;0.2
21/02/2020;29.75;26.75;281.875;0.0
22/02/2020;30.5;27.75;29.166.666.666.666.600;0.0
23/02/2020;28.0;26.25;27.125;0.2
